Reporter	normalized log2 ratio
620062	0.192
620063	0.01
620064	-0.007
620065	0.169
620066	0.187
620067	-0.067
620068	-0.157
620069	0.282
620070	-0.689
620071	0.326
620072	-2.826
620073	0.177
620074	-0.024
620075	0.123
620076	-0.09
620077	-0.291
620078	-0.088
620079	0.242
620080	0.274
620081	0.232
620082	-0.322
620083	0.152
620084	0.216
620085	0.171
620086	0.068
620087	-0.444
620088	-0.051
620089	0.134
620090	1.428
620091	-0.227
620092	0.117
620093	0.113
620094	-0.205
620095	0
620096	-0.137
620097	0.092
620098	-0.231
620099	-0.109
620100	0.136
620101	0.195
620102	-0.62
620103	0.032
620104	0.078
620105	-0.059
620106	-0.266
620107	0.238
620108	-0.01
620109	0.002
620110	0.036
620111	-0.755
620112	-0.187
620113	0.125
620114	-0.971
620115	-0.106
620116	-0.243
620117	0.039
620118	0.216
620119	0.279
620120	-0.29
620121	0.302
620122	0.048
620123	-0.41
620124	0.265
620125	0.286
620126	-0.165
620127	0.168
620128	0.161
620129	0.103
620130	0.11
620131	0.046
620132	0.305
620133	-0.277
620134	-4.302
620135	-0.081
620136	-1.547
620137	0.106
620138	0.636
620139	0.103
620140	0.351
620141	-0.021
620142	0.141
620143	0.136
620144	0.245
620145	0.35
620146	0.261
620147	0.074
620148	-0.195
620149	0.193
620150	-0.149
620151	0.149
620152	0.071
620153	0.269
620154	0.181
620155	0.016
620156	0.183
620157	-0.039
620158	0.108
620159	0.023
620160	-0.502
620161	0.088
620162	-0.066
620163	-0.329
620164	0.077
620165	0.24
620166	0.271
620167	-0.019
620168	1.369
620181	0.217
620182	0.373
620183	-0.032
620184	1.445
620185	0.104
620186	-0.048
620187	-0.12
620188	-0.388
620189	0.229
620190	0.113
620191	0.268
620192	-0.008
620193	1.383
620194	0.247
620195	-0.099
620196	-0.008
620197	0.164
620198	1.57
620199	0.16
620200	0.539
620201	-0.003
620202	0.197
620203	0.528
620204	0.15
620205	0.189
620206	0.026
620207	0.115
620208	0.014
620209	0.177
620210	0.107
620211	0.099
620212	0.467
620429	-0.005
620430	-0.029
620431	0.047
620432	0.353
620433	0.084
620434	-0.125
620435	-0.475
620436	0.169
620437	-0.083
620438	-0.002
620439	0.614
620440	-0.301
620441	0.156
620442	-0.12
620443	-0.13
620444	0.001
620445	-2.19
620446	-0.034
620447	0.15
620448	-0.161
620449	-0.257
620450	0.359
620451	0.03
620452	0.003
620453	0.173
620454	0.116
620455	0.135
620456	-0.108
620457	0.002
620458	0.212
620459	-0.693
620460	0.187
620461	0.125
620462	0.019
620463	-0.031
620464	0.018
620465	-0.219
620466	0.07
620467	-0.296
620468	-0.034
620469	-0.037
620470	0.028
620471	-0.361
620472	0.155
620473	-0.033
620474	0.034
620475	-0.194
620476	-1.968
620477	0.515
620478	-0.262
620479	0.026
620480	-0.031
620481	-0.265
620482	0.016
620483	0.369
620484	-0.778
620485	-0.025
620486	-0.308
620487	0.05
620488	-0.153
620489	0.232
620490	-0.161
620491	-0.004
620492	0.047
620493	-0.351
620494	-0.751
620495	0.002
620496	-0.115
620497	0.203
620498	-0.265
620499	0.106
620500	-0.704
620501	0.077
620502	0.095
620503	-0.112
620504	-0.02
620505	0.17
620506	-0.433
620507	0.377
620508	-0.485
620509	-1.773
620510	-0.022
620511	0.031
620512	-0.653
620513	-0.465
620514	0.061
620515	0.055
620516	0.173
620517	-2.554
620518	-3.749
620519	0.398
620520	0.046
620521	0.083
620522	0.135
620523	-0.578
620524	0.005
620525	-0.314
620526	0.555
620527	-0.487
620528	-0.442
620529	-0.18
620530	-0.215
620531	0.127
620532	-0.005
620533	0.158
620534	-0.133
620535	0.06
620536	0.001
620537	0.15
620538	0.148
620539	0.204
620540	-0.015
620541	-0.109
620542	-0.049
620543	-1.766
620544	-0.231
620545	0.198
620546	-0.36
620547	-0.71
620548	-1.695
620549	0.057
620550	-0.207
620551	0.032
620552	0.67
620553	0.095
620554	-0.034
620555	-0.229
620556	0.053
620557	-0.005
620558	0.214
620559	0.091
620560	0.184
620561	-0.15
620562	0.2
620563	0.186
620564	0.169
620565	-0.196
620566	-0.208
620567	0.345
