reporter_name,gene_name,gene_entrez_id
620409,phnI,948605
620410,ryiA,2847678
620411,wcaK,946569
620412,mrcB,944843
620413,ygcL,947222
620414,creB,948922
620415,yfdOpseudogene,
620416,modF,945368
620451,yciM,944858
620477,yciT,945869
620486,ycgN,945804
620488,yibJ,948112
620498,yeiB,949044
620516,prpR,944987
620547,yghG,947470
620552,yfaD,946737
620553,sapC,945266
620554,yfdX,949108
620568,nuoN,945136
620571,rcsC,948993
620589,ygcK,947223
620590,wcaA,946570
620591,mmuM,946143
620592,dinD,948153
620593,isrB,2847689
620594,micF,2847742
620595,yfeW,946907
620596,yhcD,947738
620597,yjgK,948777
620598,yjjJ,944883
620599,ulaG,948705
620600,yecS,949105
620601,yahF,947298
620602,yfiH,947089
620603,yaaI,944751
620604,hisA,946521
620605,mtr,947675
620606,yfbL,945832
620607,yedZ,946483
620608,ybfF,945288
620609,chaC,945793
620610,rfaP,948150
620611,rutE,946591
620612,astD,946260
620613,rbsD,948267
620614,kefB,947858
620615,ycdU,945592
620616,abrB,945321
620617,yhhK,947963
620618,yfjQ,947127
620619,zraS,948506
620620,lolD,945670
620621,ybfG,945287
620622,yhcG,947739
620623,maoC,945954
620625,yojO,5061514
620626,rygD,2847684
620655,yciM,944858
620681,yciT,945869
620690,ycgN,945804
620692,yibJ,948112
620702,yeiB,949044
620720,prpR,944987
620751,yghG,947470
620756,yfaD,946737
620757,sapC,945266
620758,yfdX,949108
620772,nuoN,945136
620775,rcsC,948993
620793,ygcK,947223
620794,wcaA,946570
620795,mmuM,946143
620796,dinD,948153
620797,isrB,2847689
620798,micF,2847742
620799,yfeW,946907
620800,yhcD,947738
620801,yjgK,948777
620802,yjjJ,944883
620803,ulaG,948705
620804,yecS,949105
620805,yahF,947298
620806,yfiH,947089
620807,yaaI,944751
620808,hisA,946521
620809,mtr,947675
620810,yfbL,945832
620811,yedZ,946483
620812,ybfF,945288
620813,chaC,945793
620814,rfaP,948150
620815,rutE,946591
620816,astD,946260
620817,rbsD,948267
620818,kefB,947858
620819,ycdU,945592
620820,abrB,945321
620821,yhhK,947963
620822,yfjQ,947127
620823,zraS,948506
620824,lolD,945670
620825,ybfG,945287
620826,yhcG,947739
